X,Y,Z,G_x,G_y,G_z,formation,group,polarity,dip,azimuth
455407.819537,6786659.103408998,-1989.7802551,-0.18484152772852588,0.0028441666150373327,0.9827642241876995,etive,etive c,1,10.653168899281933,270.88154370027416
456578.965472,6786880.422135,-1922.8604371000001,-0.164419457914756,0.018593775097430803,0.9862152469854865,etive,etive e,1,9.524392343998993,276.4520215656376
458242.5250429999,6787075.1649939995,-1887.93879995,-0.06132665284799714,0.04672537384646616,0.9970234606514379,etive,etive j,1,4.421821710509483,307.30412857646616
456037.33021800005,6786895.989151999,-1986.2264282500005,0.3259830464167322,0.11495897848745186,0.9383599984622044,fault6,fault6,1,20.222061351527923,70.57463646779816
457586.45680499997,6787092.966691,-1957.0662903,0.3987108861906569,0.07335630525510427,0.9141381086643204,fault7,fault7,1,23.91637792748355,79.57509465003803
455277.527362,6786983.382706,-1929.8219725999995,-0.1426338268205726,-0.004865627835168954,0.9897635662683736,ness,ness c,1,8.205085973401426,268.04624271378975
456337.814715,6787048.643693,-1892.0369812499998,-0.12233295123114839,0.02626009715313439,0.9921416513485288,ness,ness e h,1,7.187669355082351,282.1153063967124
458242.5250429999,6787112.6649939995,-1821.07152705,-0.07329149081103607,0.054321194688167346,0.995830088510257,ness,ness j,1,5.2342212738914276,306.5446020697807
455322.527362,6786643.382706,-1870.4711304,-0.10782088511954888,-0.0009212747609177395,0.9941699090119616,tarbert,tarbert c,1,6.18994115646902,269.51044854636035
456364.396442,6786686.540786999,-1838.1295593999998,-0.1093448106025978,0.016817284167770858,0.9938616057316544,tarbert,tarbert d,1,6.351662688874139,278.74360573673107
458064.04799200007,6786926.843032999,-1782.3152649000003,-0.036901688907499744,0.03309185228131751,0.9987708419193894,tarbert,tarbert f,1,2.8410965664964727,311.88439304550815
457025.855556,6787012.216996001,-1783.6949036500002,-0.02920154181421721,0.027171079530400537,0.9992041845352857,unconformity,unconformity,1,2.285981035329274,312.937178612429
